Xbox Game Title	Title ID (Hex)	Title	XDK version
Tom Clancy's Ghost Recon 2	55530005	Ghost Recon 2	5849
Tom Clancy's Ghost Recon 2: Summit Strike	5553004D	Summit Strike	5849
Tom Clancy's Ghost Recon Advanced Warfighter	55530054	Ghost Recon: Advanced Warfighter	5849
Tom Clancy's Ghost Recon: Island Thunder	55530007	GR Island Thunder	5455
Tom Clancy's Rainbow Six : Critical Hour	5553005F	Critical Hour	5849
Tom Clancy's Rainbow Six 3	55530013	RainbowSix 3	5659
Tom Clancy's Rainbow Six 3: Black Arrow	55530037	Rainbow Six 3: Black Arrow	5849
Tom Clancy's Rainbow Six: Lockdown	55530048	RainbowSix Lockdown	5849
Tom Clancy's Splinter Cell	5553000C	Splinter Cell	4928
Tom Clancy's Splinter Cell Chaos Theory	55530041	Splinter Cell-CT vs	5849
Tom Clancy's Splinter Cell Double Agent	5553005E	Splinter Cell-DA	5849
Tom Clancy's Splinter Cell Pandora Tomorrow	55530019	Splinter Cell 2	5788
Tomb Raider: Legend	534300FD	Tomb Raider: Legend	5849
Tony Hawk’s American Wasteland	41560049	American Wasteland	5849
Tony Hawk's Pro Skater 2 X	41560001	Tony Hawk's Pro Skater 2X	3947
Tony Hawk's Pro Skater 3	41560004	Tony Hawk's Pro Skater 3	4039
Tony Hawk's Pro Skater 4	41560017	Tony Hawk's Pro Skater 4	4928
Tony Hawk's Underground	4156002D	Tony Hawk's Underground	5659
Tony Hawk's Underground 2	4156003C	THUG 2	5849
Top Gear: RPM Tuning (RPM Tuning)	4B420007	RPM Tuning	5849
Top Spin	4D530035	TopSpin	5558
Torino 2006	545400A9	Torino 2006	5849
Tork: Prehistoric Punk	55530040	Tork	5849
Total Club Manager 2004	45410041	TCM 2004	5455
Total Club Manager 2005	45410065	TCM 2005	5849
Total Immersion Racing	454D0003	Total Immersion Racing	4831
Total Overdose	53430010	Total Overdose	5849
Totaled!	4D4A0002	Totaled	4361
Touge R	41540001	TougeR	4831
Toxic Grind	54510007	Toxic Grind	4721
TransWorld Snowboarding	49470004	TransWorld Snowboarding	4831
TransWorld Surf	49470005	TransWorld Surf	3925
Triangle Again	4B4B0001	Triangle Again	4432
Triangle Again 2	4B4B0002	Triangle Again2	4831
Trigger Man	43560009	Trigger Man	5849
Triple Play 2002	45410009	Triple Play 2002	3948
Trivial Pursuit: Unhinged	4947003D	Trivial Pursuit: Unhinged	5849
Tron 2.0: Killer App	42560001	Killer App	5849
True Crime: New York City	41560045	True Crime: New York City	5849
True Crime: Streets of L.A.	4156000E	True Crime: Streets of LA	5659
Turok: Evolution	41430004	Turok Evolution	4627
Ty the Tasmanian Tiger	45410029	TY the Tasmanian Tiger	4831
TY the Tasmanian Tiger 2: Bush Rescue	45410063	TY2	5849
Ty the Tasmanian Tiger 3: Night of the Quinkan	41560055	TY the Tasmanian Tiger™ 3	5849
UEFA Champions League 2004 – 2005	45410070	UEFA CL 2004/05	5849
UEFA Euro 2004	4541004A	UEFA EURO 2004	5849
UFC: Tapout	43560002	UFC Tapout	4039
UFC: Tapout 2	544D000A	UFC TAPOUT2	5120
Ultimate Beach Soccer	57450001	Ultimate Beach Soccer	5455
Ultimate Pro Pinball	454D001D	Ultimate Pro Pinbal	5849
Ultimate Spider-Man	41560035	Ultimate Spider-Man	5849
Ultra Bust-A-Move	4D4A000C	Ultra Bust A Move	5849
Umesawa Yukari no Igo Seminar	53550003	梅沢由香里の囲碁ｾﾐﾅｰ	4361
Unreal Championship	49470024	Unreal Championship	4928
Unreal Championship 2: The Liandri Conflict	4D570021	Unreal Championship 2	5849
Unreal II: The Awakening	4947003C	Unreal II	5659
Urban Chaos: Riot Response	534300F7	Urban Chaos	5849
Urban Freestyle Soccer	4143000C	Urban Freestyle Soccer	5558
Van Helsing	56550029	Van Helsing	5788
Vexx	41430005	Vexx	5120
Vietcong: Purple Haze	5454000A	Vietcong: Purple Haze	5849
Virtual Pool: Tournament Edition	54540016	Virtual Pool Tournament Edition	5849
Voodoo Vince	4D53005F	Voodoo Vince	5558
V-Rally 3	49470034	V-Rally 3	5028
Wakeboarding Unleashed	4156000D	Wakeboarding Unleashed	5233
Wallace & Gromit in Project Zoo	424D0003	Project Zoo	5455
Wallace & Gromit: The Curse of the Were-Rabbit	4B4E0034	Wallace & Gromit COTW	5849
WarPath	4756000A	Warpath	5849
Whacked!	4D530027	Whacked	4831
Whiplash	45530011	Whiplash	5659
Whiteout	4B4E0001	WHITEOUT	4928
Winback 2: Project Poseidon	4B4F0008	WINBACK2	5849
Wings of War	54540018	Wings of War	5849
Winning Eleven 8	4B4E0027	Winning Eleven 8 International	5849
Without Warning	43430014	Without Warning	5849
World Championship Poker	4356000D	World Championship Poker	5849
World Championship Poker 2	43560010	WCP2	5849
World Championship Pool 2004	4A410007	World Championship Pool 2004	5659
World Championship Snooker 2003	434D000D	WCS2003	5455
World Championskip Rugby	4143001F	World Championship Rugby	5849
World Championskip Snooker 2004	434D002A	World Championship Snooker 2004	5849
World Poker Tour	54540087	World Poker Tour	5849
World Racing 2	544D0012	World Racing 2	5849
World Series Baseball 2002	5345000E	WSB	4134
World Series Baseball 2K3	5345001A	WSB 2K3	5233
World Series of Poker	41560054	World Series of Poker	5849
World Snooker Championship 2005	53450081	World Snooker Championship 2005	5849
World Soccer Winning Eleven 9 International	4B4E002F	World Soccer Winning Eleven 9	5849
World War II Combat: Iwo Jima	4756000B	WWII Combat: Iwo Jima	5849
World War II Combat: Road to Berlin	47560009	WWII Combat	
Worms 3D: Special Edition	5345002A	Worms 3D Special Edition	5849
Worms 4: Mayhem	4D4A0017	Worms 4 Mayhem	5849
Worms: Forts Under Siege	53450035	Worms Forts Under Siege	5849
Wrath Unleashed	4C41000F	Wrath Unleashed	5558
Wreckless: The Yakuza Missions	4156000A	WRECKLESS	4134
WTA Tour Tennis	4B4E0010	WTA Tour Tennis	4721
WWE Raw 2: Ruthless Agression	5451000D	WWE RAW2	5233
WWE WrestleMania 21	54510024	WWE Wrestlemania XXI	5849
WWF: Raw (NTSC)	54510002	RAW	4134
WWF: Raw (PAL)	54510002	RAW	4361
Xbox Live Arcade	4D5300C8	Xbox Live Arcade	5849
Xbox Music Mixer	4D53005A	Xbox Music Mixer	5558
XGRA - Extreme G Racing Association	41430014	XGRA	5558
Xiaolin Showdown	4B4E0038	Xiaolin Showdown	5849
XIII	55530009	XIII	5558
X-Men 2 - Wolverine's Revenge	41560008	X2 Wolverine's Revenge	5233
X-Men Legends II: Rise of Apocalypse	41560047	X-Men Legends 2: Rise of Apocalypse	5849
X-Men: Next Dimension	41560007	X-Men: Next Dimension	4928
X-Men: The Official Game	41560046	XmenFINAL	5849
Xyanide	50430001	Xyanide	5849
Yager	54510006	Yager	5344
Yetisports Arctic Adventures	4A570004	Yetisports Arctic Adventures	5849
Yourself!Fitness	52440001	Yourself!Fitness	5849
Yu-Gi-Oh! The Dawn of Destiny (NTSC)	4B4E001E	Yu-Gi-Oh! The Dawn of Destiny	5558
Yu-Gi-Oh! The Dawn of Destiny (PAL)	4B4E001E	N/A	5849
Zapper	49470012	Zapper	4831
Zathura	5454008C	Zathura	5849

