Xbox Game Title	Title ID (Hex)	Title	XDK version
C.A.T. Cyber Attack Team	4D450001	C.A.T. ～サイバーアタックチーム～	5233
Cabela's Big Game Hunter 2005 Adventures	4156003E	Cabela's Big Game Hunter 2005 Adventures	5849
Cabela's Dangerous Hunts	41560019	Cabela's Dangerous Hunts	5659
Cabela's Dangerous Hunts 2	41560052	Dangerous 2	5849
Cabela's Deer Hunt 2005 Season	4156003F	Cabela's Deer Hunt 2005 Season	5849
Cabela's Deer Hunt: 2004 Season	41560030	Deer Hunt 2004 Season	5558
Cabela's Outdoor Adventures 06	4156004D	Cabela's Outdoor Adventures	5849
Call of Cthulhu: Dark Corners of the Earth	42530007	Call of Cthulhu: Dark Corners of the Ear	5849
Call of Duty 2: Big Red One	41560051	Call of Duty 2: Big Red One	5849
Call of Duty 3	4156005D	Call of Duty 3	5849
Call of Duty: Finest Hour	4156002A	Call of Duty: Finest Hour	5849
Capcom Classics Collection	43430018	Capcom Classics Collection	5849
Capcom Classics Collection Volume 2	43430019	Capcom Classics Vol. 2	5849
Capcom Fighting Evolution (NTSC)	43430010	Capcom Fighting Evo./Jam	5849
Capcom Fighting Jam (NTSC-J)	43430010	Capcom Fighting Evo./Jam	5849
CAPCOM VS. SNK2 EO	43430008	CAPCOM VS. SNK2 EO	5028
Carmen Sandiego: The Secret of the Stolen Drums	424D0006	Carmen SanDiego	5659
Cars	545100F2	Cars	5849
Carve	54540010	Carve	5659
Castlevania: Curse of Darkness	4B4E002D	Castlevania CoD	5849
Catwoman	4541005C	Catwoman	5849
Cel Damage	45410011	Cel Damage	3925
Celebrity Deathmatch	5454000B	Celebrity Deathmatch	5233
Championship Manager - Season 01-02	45530002	Championship Manager	4134
Championship Manager 2002-2003	4553000C	CM 2002/03	4928
Championship Manager 2006 	53430100	Championship Manager 2006	5849
Championship Manager 5	4553001A	Championship Manager 5	5849
Charlie and the Chocolate Factory	54540081	Charlie and the Chocolate Factory	5849
Chase - Hollywood Stunt Driver	424D0001	Chase	4721
Chessmaster	55530039	Chessmaster	5849
Chicago Enforcer	4B420005	Chicago Enforcer	5849
Circus Drive	43430005	CIRCUS DRIVE	5233
Circus Maximus	45430001	CircusMaximus	4134
Circus Maximus: Chariot Wars	5451000C	CircusMaximus	
Classified: The Sentinel Crisis	5454007D	Classified: The Sentinel Crisis	5849
Close Combat: First to Fight	54540012	Close Combat: First to Fight	5849
Club Football 2005 Arsenal	434D0031	Club Football 2005	5849
Club Football 2005 Celtic	434D0035	Club Football 2005	5849
Codename: Kids Next Door	5454008A	Codename: Kids Next Door	5849
Cold Fear	5553004B	Cold Fear	5849
Cold War	44430004	Cold War	5849
Colin McRae Rally 04	434D0010	Colin McRae Rally 04	5659
Colin McRae Rally 2005	434D002B	Colin McRae Rally 2005	5849
Colin McRae Rally 3	434D0001	Colin McRae Rally 3	4831
College Hoops 2K6	54540091	Hoops 2K6	5849
College Hoops 2K7	545400AF	Hoops 2K7	5849
Combat Elite: WWII Paratroopers	53500001	Combat Elite	5849
Combat Task Force 121	47560003	COMBAT	5849
Commandos 2	45530008	Commandos 2	4432
Commandos Strike Force	534300F9	Commandos: Strike Force	5849
Conan	544D0008	Conan	5849
Conflict Desert Storm II: Back to Baghdad	53430006	CDS II	5558
Conflict: Desert Storm	54540005	Conflict: Desert Storm	4531
Conflict: Global Terror	5343000C	Conflict: Global	5849
Conflict: Vietnam	5343000A	Conflict:Vietnam	5849
Conker: Live & Reloaded	4D530051	Conker: Live and Reloaded	5849
Conspiracy: WoMD	4F580001	Conspiracy: WoMD	5849
Constantine	5343000F	Constantine	5849
Corvette	544D000B	Corvette	5659
Counter Terrorist Special Forces - Fire for Effect	48500002	CT Special Forces	5849
Counter-Strike	4D530036	Counter-Strike	5659
Crash Bandicoot 4 - Sakuretsu! Majin Power	4B4E0011	Crash Bandicoot Japan	4432
Crash Bandicoot: The Wrath of Cortex	56550003	Crash Bandicoot: tWoC	4361
Crash 'N' Burn	45530014	Crash 'n' Burn	5849
Crash Nitro Kart	5655001F	Crash Nitro Kart	5558
Crash Tag Team Racing	56550041	Crash Tag Team Racing	5849
Crash Twinsanity	56550036	Crash Twinsanity	5849
Crazy Taxi 3	53450004	CRAZY TAXI 3 High Roller	4531
Crime Life: Gang Wars	4B4E001C	CrimeLife	5849
Crimson Sea	4B4F0002	CrimsonSea	4928
Crimson Skies: High Road to Revenge	4D530021	Crimson Skies	5659
Crouching Tiger Hidden Dragon	55530020	CROUCHING TIGER	5659
Crusty Demons: Freestyle Moto X	464C0002	Crusty Demons	5849
CSI: Crime Scene Investigation	5553003F	CSI 	5849
Curious George	4E4D0019	Curious George	5849
Curse	57450005	Curse - The Eye of Isis	5558
Daemon Vector	58500001	鬼疫	5849
Dai Senryaku VII: Modern Military Tactics	434B0001	Dai Senryaku VII	5849
Daisenryaku VII	434B0001	大戦略VII	5344
Dakar Rally 2 - Worlds Ultimate Rally	41430017	Dakar 2	5344
Dance Dance Revolution Ultramix 2	4B4E0021	DDR ULTRAMIX 2	5849
Dance Dance Revolution Ultramix 3	4B4E0029	DDR ULTRAMIX 3	5849
Dance Dance Revolution Ultramix 4	4B4E0037	DDR ULTRAMIX 4	5849
Dance Dance Revolution: Ultramix	4B4E0019	DDRULTRAMIX	5659
Dance UK	42420002	Dance: UK	5849
Dancing Stage Unleashed	4B4E001D	Dancing Stage Unleashed	5659
Dark Angel	56560010	Dark Angel Release	4721
Dark Summit	54510004	Dark Summit	4034
Darkwatch	43430016	Darkwatch	5849
Darkwatch	5553005C	Darkwatch	
David Beckham Soccer	52410003	David Beckham Soccer	4361
Dead Man’s Hand	49470027	Dead Man's Hand	5788
Dead or Alive 3	54430001	Dead or Alive 3	3925
Dead or Alive Ultimate	54430006	DOAU1	5849
Dead or Alive Ultimate II	54430006	DEAD OR ALIVE ULTIMATE	5849
Dead or Alive XtremeBeachVolleyBall	54430007	Dead or Alive XtremeBeachVolleyBall	4928
Dead to Rights	4541002C	Dead To Rights	5120
Dead to Rights II: Hell to Pay	4E4D0015	Dead To Rights 2	5849
Deathrow	55530004	Deathrow	4721
Def Jam: Fight For NY	45410049	DJFFNY	5849
Defender	4D570006	Defender	4928
Delta Force – Black Hawk Down	4E4C0002	Delta Force BHD	5849
Dennou Taisen DroneZ	4D440003	DroneZ	5849
Destroy All Humans!	54510026	Destroy All Humans!	5849
Destroy All Humans! 2	54510106	Destroy All Humans! 2	5849
Deus Ex: Invisible War	45530005	Deus Ex: Invisible War	5558
Die Hard: Vendetta	56560029	Die Hard: Vendetta	5344
Digimon Battle Chronicle	42410001	Digimon Battle Chronicle	5788
Digimon Rumble Arena 2	42410001	Digimon Rumble Arena 2	5788
Digimon World 4	42410002	DigimonWorld4	5849
Digimon World X	42410002	デジモンワールドＸ	5849
Dino Crisis 3	43430003	DINO CRISIS 3	5558
Dinosaur Hunting	4D530069	DinosaurHunting	5455
Dinotopia: The Sunstone Odyssey	544D000F	Dinotopia: The Sunstone Odyssey	5455
Disney’s Chicken Little	42560002	Chicken Little	5849
Disney's Extreme Skate Adventure	41560027	Disney Extreme Skate Adventure	5455
Doom 3	41560020	DOOM 3	5849
DOOM 3: Resurrection of Evil	4156004E	DOOM 3 RoE	5849
Double-S.T.E.A.L	42550001	DOUBLE-STEAL	4134
Double-S.T.E.A.L - The Second Clash	42550004	DOUBLE S.T.E.A.L SECOND CLASH	5849
Dr. Muto	4D570011	Dr. Muto	4928
Dr. Seuss' The Cat in the Hat	56550028	Cat In The Hat	5659
Dragon Ball Z: Sagas	4947007A	Dragon Ball Z Sagas	5849
Dragon's Lair 3D	55530012	Dragon's Lair 3D	5659
Drake	4D4A000B	Drake	5558
Dreamfall: The Longest Journey (NTSC)	41590004	Dreamfall	5849
Dreamfall: The Longest Journey (PAL)	4D580001	Dreamfall	5849
Drihoo	48570001	DRIHOO	4928
DRIV3R	49470038	DRIV3R	5849
Driver Parallel Lines	4947007F	Driver : Parallel Lines	5849
DTM Race Driver 2 - Ultimate Racing Simulator	434D0011	Race Driver 2	5849
DTM Race Driver 3 - The Ultimate Racing Simulator	434D0050	Race Driver 3	5849
DTM Race Driver Live	434D000E	DTM Race Driver	5558
Dungeons & Dragons: Heroes	49470013	D&D Heroes	5455
Dynasty Warriors 3	4B4F0003	DynastyWarriors3	4721
Dynasty Warriors 4	4B4F0004	DynastyWarriors4	5455
Dynasty Warriors 5	4B4F0007	Dynasty Warriors 5	5849
EA Sports Arena Football	45410094	Arena Football™	5849
EA Sports Cricket 2005	45410074	EA SPORTS™ Cricket 2005	5849
EA Sports: Fight Night Round 3	45410086	EA SPORTS FN 3	5849
Ed, Edd n Eddy: The Mis-Edventures	4D570032	Ed, Edd n Eddy: The MIS-EDventures	5849
Egg Mania: Eggstreme Madness	4B420002	Egg Mania	4627
Elder Scrolls III: Morrowind	42530001	Morrowind	4531
Enclave	5655000E	Enclave	4531
Enter The Matrix	49470022	Enter The Matrix	5344
Eragon	56550043	Eragon	5849
ESPN College Hoops 2K4	53450024	ESPN College Hoops	5558
ESPN College Hoops 2K5	53450033	ESPN COLLEGE HOOPS 2K5	5849
ESPN Football 2004	53450022	ESPN NFL FOOTBALL	5558
ESPN International Winter Sports	4B4E000B	Winter Sports	4134
ESPN Major League Baseball	53450028	ESPN Major League Baseball	5659
ESPN MLS ExtraTime 2002	4B4E0005	ESPN MLS Extratime 2002	4134
ESPN NBA 2K5	53450031	ESPN NBA 2K5	5849
ESPN NBA 2Night 2002	4B4E0006	NBA2NIGHT 2002	4361
ESPN NBA Basketball	53450023	ESPN NBA BASKETBALL	5558
ESPN NFL 2K5	53450030	ESPN NFL 2K5	5849
ESPN NFL Primetime 2002	4B4E0003	ESPN NFL PrimeTime 2002	3948
ESPN NHL 2K5	53450032	ESPN NHL 2K5	5849
ESPN NHL Hockey	53450026	ESPN NHL Hockey	5558
ESPN X-Games Snowboarding 2002	4B4E0009	ESPN Winter X Games Snowboarding 2002	4134
Evil Dead Regeneration	54510025	Evil Dead: Regeneration	5849
Evil Dead: Fistfull of Boomstick	5451000B	Evil Dead: A Fistful Of Boomstick	5233
Exa Skeleton	4B4B0003	ExaSkeleton	5455
ExChaser	49460001	ExChaser	5028
F1 2001	45410007	F1 2001	3925
F1 2002	45410014	F1 2002	4134
F1 Career Challenge	45410032	F1 Career Challenge	5233
Fable	4D53000D	Fable	5849
Fable: The Lost Chapters	4D5300D1	Fable: The Lost Chapters	5849
Fahrenheit			5849
Fairly Odd Parents: Breakin' Da Rules	54510020	Fairly OddParents	5558
Fallout: Brotherhood of Steel	49500008	Fallout Brotherhood of Steel	5558
Family Guy	545400B0	Family Guy	5849
Fantastic Four	4156001A	Fantastic Four	5849
Far Cry Instincts	55530008	FarCry Instincts	5849
Far Cry Instincts Evolution	55530060	FarCry Instincts Evolution	5849
Fatal Frame (NTSC)	54430004	FATAL FRAME	4721
Fatal Frame (NTSC-J)	54430004	FATAL FRAME	4928
Fatal Frame 2: Crimson Butterfly Director's Cut	5443000A	Fatal Frame 2	5849
FIFA 2004	4541003B	FIFA Football 2004	5455
FIFA Soccer 06	45410078	FIFA 06	5849
